trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.43399999999999983, 'e': 0.19013898010152053}",25,0,2.949625878768626,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.43199999999999983, 'e': 0.18637397603941}",25,9,12.62524560084369,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.4299999999999998, 'e': 0.18268352405273466}",20,16,5.746292596337794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4279999999999998, 'e': 0.17906614791149325}",20,15,8.713857981906274,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4259999999999998, 'e': 0.1755204006169969}",20,0,8.68765359519381,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.4239999999999998, 'e': 0.17204486382305054}",20,0,-62.95493974967085,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.4219999999999998, 'e': 0.16863814726859552}",20,3,-28.415231470095264,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.4199999999999998, 'e': 0.16529888822158656}",25,18,-9.007920872973202,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.4179999999999998, 'e': 0.16202575093388077}",20,5,3.8454001910835043,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.4159999999999998, 'e': 0.1588174261069207}",20,11,15.567048104621875,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4139999999999998, 'e': 0.1556726303679973}",25,4,-26.05007443659416,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
94,False,"{'a': 0.4119999999999998, 'e': 0.15259010575688386}",25,16,10.904856756839418,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4099999999999998, 'e': 0.14956861922263506}",25,15,21.374383740799264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4079999999999998, 'e': 0.14660696213035015}",20,5,11.752455301452947,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.4059999999999998, 'e': 0.14370394977770296}",20,9,8.091639103072577,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.4039999999999998, 'e': 0.140858420921045}",25,11,19.457627781605353,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.4019999999999998, 'e': 0.13806923731089282}",25,14,-7.91010525670839,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.3999999999999998, 'e': 0.1353352832366127}",25,11,21.653806941484106,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3979999999999998, 'e': 0.13265546508012174}",20,3,-26.1773147109591,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.3959999999999998, 'e': 0.13002871087842593}",20,0,-52.599565146733404,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
103,False,"{'a': 0.3939999999999998, 'e': 0.12745396989482075}",20,10,17.255598975044144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3919999999999998, 'e': 0.12493021219858243}",25,0,7.902157524869352,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.3899999999999998, 'e': 0.12245642825298192}",25,16,20.073914147377295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3879999999999998, 'e': 0.12003162851145674}",20,14,10.280850008960787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.3859999999999998, 'e': 0.1176548430217792}",20,0,-45.013725133750384,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.3839999999999998, 'e': 0.11532512103806253}",35,6,24.356634883391582,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.3819999999999998, 'e': 0.11304153064044986}",25,8,20.135569795090486,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.3799999999999998, 'e': 0.11080315836233387}",25,7,5.201805424553188,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.3779999999999998, 'e': 0.10860910882495797}",20,3,22.208716750000253,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3759999999999998, 'e': 0.10645850437925282}",25,15,17.575369155088886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3739999999999998, 'e': 0.10435048475476501}",20,6,15.68030366003522,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3719999999999998, 'e': 0.10228420671553745}",25,11,-20.342577399004885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.3699999999999998, 'e': 0.10025884372280372}",25,15,20.799990467601923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.36799999999999977, 'e': 0.09827358560436156}",35,0,-16.345317448873654,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
117,False,"{'a': 0.36599999999999977, 'e': 0.09632763823049305}",30,11,6.098071942984188,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.36399999999999977, 'e': 0.09442022319630236}",20,7,-8.042558968017293,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.36199999999999977, 'e': 0.09255057751034329}",30,0,44.07935524027144,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.35999999999999976, 'e': 0.09071795328941253}",20,6,21.883982310532943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.35799999999999976, 'e': 0.08892161745938636}",25,5,-11.78150955438017,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.35599999999999976, 'e': 0.08716085146198131}",20,0,32.553929863754206,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.35399999999999976, 'e': 0.08543495096732125}",25,0,-28.465983770364243,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
124,False,"{'a': 0.35199999999999976, 'e': 0.08374322559219598}",35,16,-21.30361337836213,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.34999999999999976, 'e': 0.08208499862389881}",30,0,26.431483775603866,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.34799999999999975, 'e': 0.08045960674953244}",25,20,11.123143062795041,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.34599999999999975, 'e': 0.07886639979067496}",30,17,26.165611938070686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.34399999999999975, 'e': 0.07730474044329975}",25,13,-23.334377832516935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.34199999999999975, 'e': 0.07577400402284548}",25,10,2.2300598070265987,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.33999999999999975, 'e': 0.07427357821433388}",20,2,26.33273546464965,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.33799999999999975, 'e': 0.0728028628274356}",20,8,-17.80746136311564,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.33599999999999974, 'e': 0.07136126955638607}",25,4,20.55292178012681,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.33399999999999974, 'e': 0.06994822174465537}",20,10,-1.7536645335819392,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.33199999999999974, 'e': 0.06856315415427792}",20,10,-21.708279406129883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.32999999999999974, 'e': 0.06720551273974976}",30,17,24.497817456113115,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.32799999999999974, 'e': 0.06587475442640296}",25,12,-22.49586977551386,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
